url,status,state,parent,failureDetails
https://developer.mozilla.org/ru/docs/Web/HTML/Element/tt,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/HTML,
https://developer.mozilla.org/ru/docs/Web/HTML/Global_attributes/itemtype,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/HTML,
https://developer.mozilla.org/ru/docs/Web/HTML/%D0%9F%D0%BE%D0%B4%D0%B4%D0%B5%D1%80%D0%B6%D0%B8%D0%B2%D0%B0%D0%B5%D0%BC%D1%8B%D0%B5_%D0%BC%D0%B5%D0%B4%D0%B8%D0%B0_%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%82%D1%8B,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/HTML,
https://developer.mozilla.org/ru/docs/Web/HTML/Global_attributes/slot,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/HTML,
https://developer.mozilla.org/ru/docs/Web/HTML/Element/tr,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/HTML,
https://developer.mozilla.org/ru/docs/Web/HTML/Element/keygen,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/HTML,
https://developer.mozilla.org/ru/docs/Web/HTML/Element/frameset,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/HTML,
https://developer.mozilla.org/ru/docs/Web/HTML/Global_attributes/translate,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/HTML,
https://developer.mozilla.org/ru/docs/Web/HTML/Element/samp,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/HTML,
https://developer.mozilla.org/ru/docs/Web/HTML/Element/input/submit,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/HTML,
https://developer.mozilla.org/ru/docs/Web/HTML/Element/i,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/HTML,
https://developer.mozilla.org/ru/docs/Web/HTML/Element/rb,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/HTML,
https://developer.mozilla.org/ru/docs/Web/HTML/Element/tbody,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/HTML,
https://developer.mozilla.org/ru/docs/Web/HTML/Element/input/month,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/HTML,
https://developer.mozilla.org/ru/docs/Web/HTML/Element/input/text,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/HTML,
https://developer.mozilla.org/ru/docs/Web/HTML/Element/textarea,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/HTML,
https://developer.mozilla.org/ru/docs/Web/HTML/Global_attributes/draggable,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/HTML,
https://developer.mozilla.org/ru/docs/Web/HTML/Element/spacer,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/HTML,
https://developer.mozilla.org/ru/docs/Web/HTML/Element/input/hidden,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/HTML,
https://developer.mozilla.org/ru/docs/Web/HTML/Index,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/HTML,
https://developer.mozilla.org/ru/docs/Web/HTML/Element/rp,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/HTML,
https://developer.mozilla.org/ru/docs/Web/HTML/Element/input/reset,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/HTML,
https://developer.mozilla.org/ru/docs/Web/HTML/Element/plaintext,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/HTML,
https://developer.mozilla.org/ru/docs/Web/HTML/Element/portal,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/HTML,
https://developer.mozilla.org/ru/docs/Web/HTML/Global_attributes/itemprop,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/HTML,
https://developer.mozilla.org/ru/docs/Web/HTML/Global_attributes/enterkeyhint,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/HTML,
https://developer.mozilla.org/ru/docs/Web/HTML/Element/rtc,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/HTML,
https://developer.mozilla.org/ru/docs/Web/HTML/Global_attributes/hidden,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/HTML,
https://developer.mozilla.org/ru/docs/Web/HTML/Element/rt,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/HTML,
https://developer.mozilla.org/ru/docs/Web/HTML/Element/menuitem,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/HTML,
http://r-gaia-cs.github.io/TeXZilla-webapp/,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/MathML,
https://developer.mozilla.org/en-US/docs/Web/Media/Overview,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/Media,
https://developer.mozilla.org/ru/docs/SVG_in_Firefox,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/SVG,
https://developer.mozilla.org/en-US/docs/Web/Media/Accessibility,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/Media,
https://developer.mozilla.org/ru/docs/Mozilla_SVG_Project,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/SVG,
https://developer.mozilla.org/ru/docs/Web/API/WebGL_API/Tutorial/Animating_textures_in_WebGL,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/API/WebGL_API,
https://developer.mozilla.org/ru/docs/Web/API/WebGL_API/Matrix_math_for_the_web,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/API/WebGL_API,
https://developer.mozilla.org/ru/docs/Web/API/WebGL_API/Using_Extensions,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/API/WebGL_API,
https://developer.mozilla.org/ru/docs/Web/API/WebGL_API/WebGL_model_view_projection,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/API/WebGL_API,
https://developer.mozilla.org/ru/docs/Web/API/WebGL_API/Basic_2D_animation_example,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/API/WebGL_API,
https://developer.mozilla.org/ru/docs/tag/SVG:Tools,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/SVG,
https://developer.mozilla.org/ru/docs/SVG/FAQ,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/SVG,
https://addons.mozilla.org/ru/firefox/addon/claws/,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/Accessibility,
https://developer.mozilla.org/ru/docs/Web/API/WebGL_API/By_example,404,BROKEN,https://developer.mozilla.org/ru/docs/Web/API/WebGL_API,
